laptop-brand,laptop-model,laptop-screensize,laptop-ram,laptop-storage,laptop-cpu,laptop-operating_system,laptop-price,laptop-rating,laptop-review_count,laptop-graphics_card_description
Lenovo,Lenovo ThinkPad,14 Inches,16 GB,512 GB,Intel Core i5,Windows,No price,3.4,259 ratings,Integrated
acer,Aspire Lite,15.6 Inches,16 GB,512 GB,Ryzen 5,Windows 11 Home,"33,490",4.0,"1,071 ratings",Integrated
Apple,MacBook Air,13 Inches,16 GB,256 GB,Core M Family,macOS 10.14 Mojave,"63,990",4.6,"6,453 ratings",Integrated
HP,HP Laptop,39.6 Centimetres,16 GB,512 GB,Core i3,Windows 11 Home,"39,490",4.1,"1,923 ratings",Integrated
Dell,Dell Latitude,13.3 Inches,32 GB,No storage,Intel Core i5,Windows,No price,No rating,No review_count,Integrated
Dell,5400-i5,14 Inches,16 GB,20 MB,Core i5 8250U,Windows 10 Pro,No price,3.2,172 ratings,Integrated
Lenovo,Lenovo V15 G2 IJL,15.6 Inches,8 GB,256 GB,Celeron,Windows 11 Home,"20,960",3.9,448 ratings,Integrated
Chuwi,HeroBook Pro,14.1 Inches,8 GB,256 GB,Celeron N4020,No operating_system,"16,990",3.6,"3,189 ratings",No description
acer,Aspire 3,15.6 Inches,8 GB,No storage,Celeron,Windows 11 Home,"23,990",3.4,247 ratings,Integrated
HP,HP Laptop,39.6 Centimetres,8 GB,512 GB,Ryzen 3,Windows,"31,990",4.1,"1,494 ratings",Integrated
Apple,MacBook Air,13.6,No ram,512 GB,No cpu,No operating_system,"77,990",4.5,35 ratings,No description
THOMSON,No laptopmodel,15.6 Inches,4 GB,128 GB,Celeron,Windows 11,"16,990",4.5,2 ratings,Intel® UHD Graphics
HP,15s-fy5010TU,15.6 Inches,8 GB,256 GB,Intel Core i3,Windows 11 Home,"31,999",4.0,108 ratings,Integrated
Lenovo,Lenovo ThinkPad,14 Inches,16 GB,256 GB,Intel Core i5,Windows,No price,4.0,4 ratings,Integrated
Dell,Dell Latitude,14 Inches,32 GB,No storage,Intel Core i7,Windows,No price,5.0,1 rating,Integrated
Lenovo,Lenovo V15 G4,15.6 Inches,16 GB,512 GB,Ryzen 7,Windows 11,"39,990",4.2,72 ratings,Integrated
HP,HP Laptop,15.6 Inches,16 GB,512 GB,Intel Core i5,Windows 11 Home,"54,990",3.7,106 ratings,Integrated
